"filename", "language", "CSS", "JavaScript", "Markdown", "JSON", "HTML", "YAML", "comment", "blank", "total"
"q:\fydp\job\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 0, 14, 2, 2, 18
"q:\fydp\job\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 33, 71
"q:\fydp\job\firebase.json", "JSON", 0, 0, 0, 7, 0, 0, 10, 0, 17
"q:\fydp\job\package-lock.json", "JSON", 0, 0, 0, 30063, 0, 0, 0, 1, 30064
"q:\fydp\job\package.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 1, 55
"q:\fydp\job\public\404.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 2, 22
"q:\fydp\job\public\index.html", "HTML", 0, 0, 0, 0, 32, 0, 0, 5, 37
"q:\fydp\job\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"q:\fydp\job\src\Components\ApplyNow\ApplyNow.css", "CSS", 26, 0, 0, 0, 0, 0, 0, 3, 29
"q:\fydp\job\src\Components\ApplyNow\ApplyNow.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"q:\fydp\job\src\Components\BrowseCandidates\BrowseCandidates.css", "CSS", 21, 0, 0, 0, 0, 0, 0, -1, 20
"q:\fydp\job\src\Components\BrowseCandidates\CandiatesArea.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 3, 23
"q:\fydp\job\src\Components\BrowseCandidates\CandidatesCardContainer.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 1, 59
"q:\fydp\job\src\Components\BrowseJob\BrowseJob.css", "CSS", 40, 0, 0, 0, 0, 0, 0, 4, 44
"q:\fydp\job\src\Components\BrowseJob\BrowseJob.js", "JavaScript", 0, -121, 0, 0, 0, 0, -4, -3, -128
"q:\fydp\job\src\Components\BrowseJob\JobsArea.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
"q:\fydp\job\src\Components\BrowseJob\JobsCardContainer.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 4, 62
"q:\fydp\job\src\Components\BrowseJob\LeftPanel.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 5, 98
"q:\fydp\job\src\Components\BrowseJob\allOptions.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 39
"q:\fydp\job\src\Components\BuyPackages\BuyPackages.css", "CSS", 69, 0, 0, 0, 0, 0, 1, 3, 73
"q:\fydp\job\src\Components\BuyPackages\BuyPackages.js", "JavaScript", 0, -2, 0, 0, 0, 0, 0, 0, -2
"q:\fydp\job\src\Components\CandiateCardsData.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 2, 83
"q:\fydp\job\src\Components\CandiateSingleCard\CandidateSingleCard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\fydp\job\src\Components\CandiateSingleCard\CandidateSingleCard.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 2, 54
"q:\fydp\job\src\Components\CandidateCards\CandidateCards.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 4, 12
"q:\fydp\job\src\Components\CandidateDetails\CandidateDetails.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\CandidateDetails\CandidateDetails.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 3, 44
"q:\fydp\job\src\Components\CandidateResume\Awards.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"q:\fydp\job\src\Components\CandidateResume\CandidateResume.css", "CSS", 7, 0, 0, 0, 0, 0, 0, 0, 7
"q:\fydp\job\src\Components\CandidateResume\CandidateResume.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\CandidateResume\CandidateResumeMainArea.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 6, 22
"q:\fydp\job\src\Components\CandidateResume\Education.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"q:\fydp\job\src\Components\CandidateResume\PersonalInfo.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 2, 56
"q:\fydp\job\src\Components\CandidateResume\ProfessionalSkill.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 4, 113
"q:\fydp\job\src\Components\CandidateResume\WorkExperience.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 3, 65
"q:\fydp\job\src\Components\Counter\Counter.css", "CSS", 24, 0, 0, 0, 0, 0, 0, 3, 27
"q:\fydp\job\src\Components\Counter\Counter.js", "JavaScript", 0, 54, 0, 0, 0, 0, 0, 1, 55
"q:\fydp\job\src\Components\DashInputField\DashInputField.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 4, 14
"q:\fydp\job\src\Components\DashSelectField\DashSelectField.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"q:\fydp\job\src\Components\EasyUse\EasyUse.css", "CSS", 8, 0, 0, 0, 0, 0, 0, 1, 9
"q:\fydp\job\src\Components\EasyUse\EasyUse.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 3, 31
"q:\fydp\job\src\Components\HeroArea\HeroArea.css", "CSS", 11, 0, 0, 0, 0, 0, 0, 3, 14
"q:\fydp\job\src\Components\HireExperts\HireExperts.css", "CSS", 13, 0, 0, 0, 0, 0, 0, 0, 13
"q:\fydp\job\src\Components\HireExperts\HireExperts.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"q:\fydp\job\src\Components\Home\Home.css", "CSS", -40, 0, 0, 0, 0, 0, -8, -6, -54
"q:\fydp\job\src\Components\Home\Home.js", "JavaScript", 0, -74, 0, 0, 0, 0, -4, -2, -80
"q:\fydp\job\src\Components\JobCards\jobCardsData.js", "JavaScript", 0, 5, 0, 0, 0, 0, -2, 1, 4
"q:\fydp\job\src\Components\JobDetails\DetailsLeftMiddle.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 10, 110
"q:\fydp\job\src\Components\JobDetails\DetailsLeftTop.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 3, 40
"q:\fydp\job\src\Components\JobDetails\DetailsRight.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 4, 97
"q:\fydp\job\src\Components\JobDetails\JobDetails.css", "CSS", 73, 0, 0, 0, 0, 0, 2, 6, 81
"q:\fydp\job\src\Components\JobDetails\JobDetails.js", "JavaScript", 0, -131, 0, 0, 0, 0, -7, -9, -147
"q:\fydp\job\src\Components\JobSingleCard\JobSingleCard.js", "JavaScript", 0, 0, 0, 0, 0, 0, -2, -1, -3
"q:\fydp\job\src\Components\PostJobMain\PostJobMain.css", "CSS", 3, 0, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\PostJobMain\PostJobMain.js", "JavaScript", 0, 162, 0, 0, 0, 0, 0, 5, 167
"q:\fydp\job\src\Components\PostJob\PostJob.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"q:\fydp\job\src\Components\PrimaryCards\JobCards.css", "CSS", 26, 0, 0, 0, 0, 0, 0, 0, 26
"q:\fydp\job\src\Components\PrimaryCards\JobCards.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 2, 57
"q:\fydp\job\src\Components\PrimaryCards\PrimaryCards.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"q:\fydp\job\src\Components\PrimaryCards\PrimaryCards.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"q:\fydp\job\src\Components\PrimaryCards\candidatesData.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 2, 83
"q:\fydp\job\src\Components\PrimaryCards\jobsData.js", "JavaScript", 0, 90, 0, 0, 0, 0, 0, 3, 93
"q:\fydp\job\src\Components\RecentAppliedJobs\RecentAppliedJobs.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 3
"q:\fydp\job\src\Components\Register\Register.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"q:\fydp\job\src\Components\Register\Register.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, 0, -1
"q:\fydp\job\src\Components\RoundMenu\RoundMenu.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 2, 3
"q:\fydp\job\src\Components\TopNav\TopNav.css", "CSS", -5, 0, 0, 0, 0, 0, -1, 1, -5
"q:\fydp\job\src\Components\WhyUs\WhyUs.css", "CSS", 66, 0, 0, 0, 0, 0, 1, 1, 68
"q:\fydp\job\src\Components\WhyUs\WhyUs.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 19
"q:\fydp\job\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 345, 1295, 38, 30124, 52, 14, -12, 144, 32000